action_count_0,action_count_1,avg_sinr_db,avg_tos_s,dense_reward,episode,epsilon,eval_best_safety_score_so_far,eval_safety_score,eval_unsafe_extra_ho_mean,eval_unsafe_extra_rb_per_s_ue_mean,eval_unsafe_outage_time_saved_s_mean,eval_unsafe_reward_gain_mean,eval_unsafe_rlf_delta_mean,eval_unsafe_sinr_gain_db_mean,eval_unsafe_uho_delta_mean,eval_unsafe_uho_per_ho_delta_mean,ho_count,kpi_score,loss,mean_train_reward,method,outage_fraction,outage_time_s,rb_count,rb_per_s_ue,reward,rl_base_step_reward,rl_training_reward,rlf_count,scenario_idx,scenario_random_mix,scenario_seed,short_tos_count,train_standard_baseline_reward,train_standard_extra_ho,train_standard_extra_rb_per_s_ue,train_standard_outage_time_saved_s,train_standard_reward_gain,train_standard_rlf_delta,train_standard_safety_score,train_standard_sinr_gain_db,train_standard_uho_delta,train_unsafe_baseline_reward,train_unsafe_extra_ho,train_unsafe_extra_rb_per_s_ue,train_unsafe_outage_time_saved_s,train_unsafe_reward_gain,train_unsafe_rlf_delta,train_unsafe_safety_score,train_unsafe_sinr_gain_db,train_unsafe_uho_delta,uho_count,uho_per_ho
69,21,1.153305294918968,1.3999999999999977,920.6212449130184,9,0.24655,,,,,,,,,,,12,-129.49393838113656,0.09781885892152786,0.5114562471738989,Simple-DQN-HO,0.1111111111111111,2.0,105,5.833333333333333,-129.49393838113656,20.0,920.6212449130184,10,0,0,10009,10,34.45122284706106,7.0,2.8888888888888884,-1.2,-163.9451612281976,9.0,-1819.528979735509,-1.8752425869890645,8.0,47.79570736679933,7.0,2.8888888888888884,-1.2,-177.28964574793588,10.0,-2003.8764964154561,-2.3767586670934855,8.0,9,0.75
74,16,1.0520389581866516,1.5272727272727247,1088.5365901484222,10,0.24616666666666667,,,,,,,,,,,11,-78.96583671850487,0.06686210632324219,0.6047425500824564,Simple-DQN-HO,0.1111111111111111,2.0,93,5.166666666666667,-78.96583671850487,20.0,1088.5365901484222,7,0,0,10009,8,34.45122284706106,6.0,2.2222222222222223,-1.2,-113.41705956556594,6.0,-1251.703410746342,-1.9765089237213809,7.0,47.79570736679933,6.0,2.2222222222222223,-1.2,-126.7615440853042,7.0,-1436.050927426289,-2.4780250038258016,7.0,8,0.7272727272727273
75,15,1.1318228041007894,1.1999999999999993,1001.2967083332294,11,0.24578333333333333,,,,,,,,,,,9,-88.5614203523759,0.052628714591264725,0.5562759490740161,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,78,4.333333333333333,-88.5614203523759,20.0,1001.2967083332294,8,0,0,10009,7,34.45122284706106,4.0,1.3888888888888884,-1.3999999999999997,-123.01264319943697,7.0,-1427.8894266883847,-1.896725077807243,5.0,47.79570736679933,4.0,1.3888888888888884,-1.3999999999999997,-136.35712771917522,8.0,-1612.2369433683318,-2.398241157911664,5.0,6,0.6666666666666666
72,18,0.624422243511046,1.3090909090909073,1114.0486461638654,12,0.2454,,,,,,,,,,,11,-94.79011909527826,0.1705225110054016,0.6189159145354802,Simple-DQN-HO,0.13333333333333333,2.4,97,5.388888888888889,-94.79011909527826,20.0,1114.0486461638654,8,0,0,10009,8,34.45122284706106,6.0,2.4444444444444446,-1.5999999999999999,-129.24134194233932,7.0,-1460.7162598858,-2.4041256383969865,7.0,47.79570736679933,6.0,2.4444444444444446,-1.5999999999999999,-142.5858264620776,8.0,-1645.0637765657473,-2.9056417185014074,7.0,8,0.7272727272727273
77,13,1.2437114373470768,1.2769230769230748,714.4515257178489,13,0.24501666666666666,,,,,,,,,,,13,-148.68658101994447,0.02644244022667408,0.39691751428769356,Simple-DQN-HO,0.1111111111111111,2.0,105,5.833333333333333,-148.68658101994447,20.0,714.4515257178489,13,0,0,10009,11,34.45122284706106,8.0,2.8888888888888884,-1.2,-183.13780386700552,12.0,-2361.040810089461,-1.7848364445609557,10.0,47.79570736679933,8.0,2.8888888888888884,-1.2,-196.4822883867438,13.0,-2545.3883267694077,-2.286352524665377,10.0,11,0.8461538461538461
76,14,1.3981200478701303,1.5199999999999978,869.9257747079064,14,0.24463333333333334,,,,,,,,,,,10,-116.82997641967455,0.06076411157846451,0.4832920970599476,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,85,4.722222222222222,-116.82997641967455,20.0,869.9257747079064,10,0,0,10009,8,34.45122284706106,5.0,1.7777777777777777,-1.3999999999999997,-151.2811992667356,9.0,-1808.7087216014781,-1.6304278340379021,7.0,47.79570736679933,5.0,1.7777777777777777,-1.3999999999999997,-164.62568378647387,10.0,-1993.0562382814253,-2.1319439141423233,7.0,8,0.8
74,16,0.9449053367667032,1.4909090909090885,1002.4523711719438,15,0.24425,,,,,,,,,,,11,-100.05087781627867,0.07174502313137054,0.556917983984413,Simple-DQN-HO,0.14444444444444443,2.5999999999999996,94,5.222222222222222,-100.05087781627867,20.0,1002.4523711719438,8,0,0,10009,8,34.45122284706106,6.0,2.2777777777777777,-1.7999999999999996,-134.50210066333972,7.0,-1476.086052420289,-2.083642545141329,7.0,47.79570736679933,6.0,2.2777777777777777,-1.7999999999999996,-147.846585183078,8.0,-1660.4335691002361,-2.58515862524575,7.0,8,0.7272727272727273
78,12,1.5420573305399465,1.3999999999999977,913.4872750782221,16,0.24386666666666668,,,,,,,,,,,12,-119.35638080694827,0.019739734008908272,0.5074929305990119,Simple-DQN-HO,0.1111111111111111,2.0,98,5.444444444444445,-119.35638080694827,20.0,913.4872750782221,10,0,0,10009,11,34.45122284706106,7.0,2.5,-1.2,-153.8076036540093,9.0,-1808.0305847567454,-1.486490551368086,8.0,47.79570736679933,7.0,2.5,-1.2,-167.1520881737476,10.0,-1992.3781014366928,-1.988006631472507,8.0,9,0.75
71,19,0.4706709670435619,1.2153846153846135,674.2531850538196,17,0.24348333333333333,,,,,,,,,,,13,-158.6961238806586,0.024453718215227127,0.37458510280767743,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,112,6.222222222222222,-158.6961238806586,20.0,674.2531850538196,12,0,0,10009,12,34.45122284706106,8.0,3.2777777777777777,-1.3999999999999997,-193.14734672771965,11.0,-2220.179767224115,-2.5578769148644707,11.0,47.79570736679933,8.0,3.2777777777777777,-1.3999999999999997,-206.49183124745792,12.0,-2404.527283904062,-3.0593929949688916,11.0,12,0.9230769230769231
80,10,1.4480725820713312,1.4909090909090885,980.2993649383836,18,0.2431,,,,,,,,,,,11,-111.72414211821346,0.24799475073814392,0.544610758299102,Simple-DQN-HO,0.12222222222222222,2.1999999999999997,88,4.888888888888889,-111.72414211821346,20.0,980.2993649383836,9,0,0,10009,9,34.45122284706106,6.0,1.9444444444444446,-1.3999999999999997,-146.17536496527453,8.0,-1640.2529822316149,-1.5804752998367013,8.0,47.79570736679933,6.0,1.9444444444444446,-1.3999999999999997,-159.5198494850128,9.0,-1824.6004989115618,-2.0819913799411225,8.0,9,0.8181818181818182
